startTime,publishTime,generation
2024-01-01 00:00:00+00:00,2023-12-30 02:30:00+00:00,11145
2024-01-01 00:00:00+00:00,2023-12-30 04:30:00+00:00,11141
2024-01-01 00:00:00+00:00,2023-12-30 07:30:00+00:00,10929
2024-01-01 00:00:00+00:00,2023-12-30 09:30:00+00:00,10928
2024-01-01 00:00:00+00:00,2023-12-30 11:30:00+00:00,10915
2024-01-01 00:00:00+00:00,2023-12-30 15:30:00+00:00,11102
2024-01-01 00:00:00+00:00,2023-12-30 18:30:00+00:00,10951
2024-01-01 00:00:00+00:00,2023-12-30 22:30:00+00:00,10950
2024-01-01 00:00:00+00:00,2023-12-31 02:30:00+00:00,10904
2024-01-01 00:00:00+00:00,2023-12-31 04:30:00+00:00,10906
2024-01-01 00:00:00+00:00,2023-12-31 07:30:00+00:00,11166
2024-01-01 00:00:00+00:00,2023-12-31 09:30:00+00:00,11167
2024-01-01 00:00:00+00:00,2023-12-31 11:30:00+00:00,11169
2024-01-01 00:00:00+00:00,2023-12-31 15:30:00+00:00,11334
2024-01-01 00:00:00+00:00,2023-12-31 18:30:00+00:00,11453
2024-01-01 00:00:00+00:00,2023-12-31 22:30:00+00:00,11453
2024-01-01 01:00:00+00:00,2023-12-30 02:30:00+00:00,11383
2024-01-01 01:00:00+00:00,2023-12-30 04:30:00+00:00,11379
2024-01-01 01:00:00+00:00,2023-12-30 07:30:00+00:00,11154
2024-01-01 01:00:00+00:00,2023-12-30 09:30:00+00:00,11153
2024-01-01 01:00:00+00:00,2023-12-30 11:30:00+00:00,11123
2024-01-01 01:00:00+00:00,2023-12-30 15:30:00+00:00,11293
2024-01-01 01:00:00+00:00,2023-12-30 18:30:00+00:00,11078
2024-01-01 01:00:00+00:00,2023-12-30 22:30:00+00:00,11077
2024-01-01 01:00:00+00:00,2023-12-31 02:30:00+00:00,10940
2024-01-01 01:00:00+00:00,2023-12-31 04:30:00+00:00,10940
2024-01-01 01:00:00+00:00,2023-12-31 07:30:00+00:00,11318
2024-01-01 01:00:00+00:00,2023-12-31 09:30:00+00:00,11318
2024-01-01 01:00:00+00:00,2023-12-31 11:30:00+00:00,11320
2024-01-01 01:00:00+00:00,2023-12-31 15:30:00+00:00,11618
2024-01-01 01:00:00+00:00,2023-12-31 18:30:00+00:00,11841
2024-01-01 01:00:00+00:00,2023-12-31 22:30:00+00:00,11838
2024-01-01 02:00:00+00:00,2023-12-30 02:30:00+00:00,11608
2024-01-01 02:00:00+00:00,2023-12-30 04:30:00+00:00,11604
2024-01-01 02:00:00+00:00,2023-12-30 07:30:00+00:00,11362
2024-01-01 02:00:00+00:00,2023-12-30 09:30:00+00:00,11361
2024-01-01 02:00:00+00:00,2023-12-30 11:30:00+00:00,11333
2024-01-01 02:00:00+00:00,2023-12-30 15:30:00+00:00,11477
2024-01-01 02:00:00+00:00,2023-12-30 18:30:00+00:00,11232
2024-01-01 02:00:00+00:00,2023-12-30 22:30:00+00:00,11232
2024-01-01 02:00:00+00:00,2023-12-31 02:30:00+00:00,11159
2024-01-01 02:00:00+00:00,2023-12-31 04:30:00+00:00,11158
2024-01-01 02:00:00+00:00,2023-12-31 07:30:00+00:00,11606
2024-01-01 02:00:00+00:00,2023-12-31 09:30:00+00:00,11606
2024-01-01 02:00:00+00:00,2023-12-31 11:30:00+00:00,11605
2024-01-01 02:00:00+00:00,2023-12-31 15:30:00+00:00,11902
2024-01-01 02:00:00+00:00,2023-12-31 18:30:00+00:00,12092
2024-01-01 02:00:00+00:00,2023-12-31 22:30:00+00:00,12090
2024-01-01 03:00:00+00:00,2023-12-30 02:30:00+00:00,11826
2024-01-01 03:00:00+00:00,2023-12-30 04:30:00+00:00,11821
2024-01-01 03:00:00+00:00,2023-12-30 07:30:00+00:00,11558
2024-01-01 03:00:00+00:00,2023-12-30 09:30:00+00:00,11557
2024-01-01 03:00:00+00:00,2023-12-30 11:30:00+00:00,11543
2024-01-01 03:00:00+00:00,2023-12-30 15:30:00+00:00,11566
2024-01-01 03:00:00+00:00,2023-12-30 18:30:00+00:00,11351
2024-01-01 03:00:00+00:00,2023-12-30 22:30:00+00:00,11350
2024-01-01 03:00:00+00:00,2023-12-31 02:30:00+00:00,11347
2024-01-01 03:00:00+00:00,2023-12-31 04:30:00+00:00,11346
2024-01-01 03:00:00+00:00,2023-12-31 07:30:00+00:00,11801
2024-01-01 03:00:00+00:00,2023-12-31 09:30:00+00:00,11801
2024-01-01 03:00:00+00:00,2023-12-31 11:30:00+00:00,11797
2024-01-01 03:00:00+00:00,2023-12-31 15:30:00+00:00,12196
2024-01-01 03:00:00+00:00,2023-12-31 18:30:00+00:00,12430
2024-01-01 03:00:00+00:00,2023-12-31 22:30:00+00:00,12428
2024-01-01 04:00:00+00:00,2023-12-30 02:30:00+00:00,11935
2024-01-01 04:00:00+00:00,2023-12-30 04:30:00+00:00,11930
2024-01-01 04:00:00+00:00,2023-12-30 07:30:00+00:00,11727
2024-01-01 04:00:00+00:00,2023-12-30 09:30:00+00:00,11726
2024-01-01 04:00:00+00:00,2023-12-30 11:30:00+00:00,11717
2024-01-01 04:00:00+00:00,2023-12-30 15:30:00+00:00,11646
2024-01-01 04:00:00+00:00,2023-12-30 18:30:00+00:00,11644
2024-01-01 04:00:00+00:00,2023-12-30 22:30:00+00:00,11644
2024-01-01 04:00:00+00:00,2023-12-31 02:30:00+00:00,11609
2024-01-01 04:00:00+00:00,2023-12-31 04:30:00+00:00,11608
2024-01-01 04:00:00+00:00,2023-12-31 07:30:00+00:00,12028
2024-01-01 04:00:00+00:00,2023-12-31 09:30:00+00:00,12029
2024-01-01 04:00:00+00:00,2023-12-31 11:30:00+00:00,12021
2024-01-01 04:00:00+00:00,2023-12-31 15:30:00+00:00,12468
2024-01-01 04:00:00+00:00,2023-12-31 18:30:00+00:00,12775
2024-01-01 04:00:00+00:00,2023-12-31 22:30:00+00:00,12775
2024-01-01 05:00:00+00:00,2023-12-30 02:30:00+00:00,12045
2024-01-01 05:00:00+00:00,2023-12-30 04:30:00+00:00,12039
2024-01-01 05:00:00+00:00,2023-12-30 07:30:00+00:00,11890
2024-01-01 05:00:00+00:00,2023-12-30 09:30:00+00:00,11888
2024-01-01 05:00:00+00:00,2023-12-30 11:30:00+00:00,11884
2024-01-01 05:00:00+00:00,2023-12-30 15:30:00+00:00,11812
2024-01-01 05:00:00+00:00,2023-12-30 18:30:00+00:00,11707
2024-01-01 05:00:00+00:00,2023-12-30 22:30:00+00:00,11706
2024-01-01 05:00:00+00:00,2023-12-31 02:30:00+00:00,11704
2024-01-01 05:00:00+00:00,2023-12-31 04:30:00+00:00,11703
2024-01-01 05:00:00+00:00,2023-12-31 07:30:00+00:00,12137
2024-01-01 05:00:00+00:00,2023-12-31 09:30:00+00:00,12137
2024-01-01 05:00:00+00:00,2023-12-31 11:30:00+00:00,12129
2024-01-01 05:00:00+00:00,2023-12-31 15:30:00+00:00,12614
2024-01-01 05:00:00+00:00,2023-12-31 18:30:00+00:00,12877
2024-01-01 05:00:00+00:00,2023-12-31 22:30:00+00:00,12877
2024-01-01 06:00:00+00:00,2023-12-30 02:30:00+00:00,12154
2024-01-01 06:00:00+00:00,2023-12-30 04:30:00+00:00,12148
2024-01-01 06:00:00+00:00,2023-12-30 07:30:00+00:00,12046
